p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,z,diversification,status,prior_reduction98,reduction98,ireduction98,geoid,base_vmt,base_emissions98,base_ef98,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg98,min_annual_emissions_chg98,emissions98,effect_emissions98,effect_ef98,effect_vmt
0,0,100,0,0,0,0,0,100,100,2033,30000,89163194.57413109,102026306.4280774,0.0767825852695876,0.4662654570738602,0.3777777777777778,success,62486.61197427173,70297.43847105569,0.68459866310250606,36057,831888868.5400001,381691.08,4.588246031827351e-4,14.292346504384795,9,10,0,1,90,100,385893355.6183895,42877039.51315439,10000,0,0,0,311393.6415289443,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2034,30000,102026306.4280774,115313900.97320394,0.08678251466924794,0.4493625511558087,0.3777777777777778,success,70297.43847105569,78108.26496783966,0.6495540701138958,36057,836445738.82,379048.74,4.531659645187933e-4,14.763993939029493,10,10,0,1,100,100,442919818.1708848,44291981.81708848,10000,0,0,0,300940.47503216035,NA,NA,NA
0,0,100,0,0,0,0,0,100,10,2035,30000,115313900.97320394,124922160.58878495,0.09401346361814233,0.4326274047070529,0.2777777777777778,success,78108.26496783966,85365.54059650496,0.6169930766367707,36057,841002609.1,376406.4,4.475686471446406e-4,15.251205739017465,11,10,0,1,110,100,503289789.38757634,45753617.21705239,10000,0,0,0,291040.8594034951,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2036,30000,124922160.58878495,134374857.90582797,0.1011273400602451,0.41600619419319873,0.2888888888888889,success,85365.54059650496,92561.31057315708,0.5847080386609219,36057,847117061.1,376695.92000000004,4.4467988817372203e-4,15.75449552840504,12,10,0,1,120,100,567161839.0225815,47263486.585215114,10000,0,0,0,284134.60942684294,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2037,30000,134374857.90582797,144139494.23433343,0.10847597442493727,0.3995023626406393,0.2888888888888889,success,92561.31057315708,99757.08054980921,0.5524230006850731,36057,853231513.1,376985.44,4.418325322166303e-4,16.274393880842407,13,10,0,1,130,100,634701361.3528539,48823181.64252722,10000,0,0,0,277228.3594501908,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2038,30000,144139494.23433343,154226363.56167954,0.11606711372366425,0.38311978355509735,0.2888888888888889,success,99757.08054980921,106952.85052646133,0.5201379627092243,36057,859345965.1,377274.96,4.390256954963388e-4,16.811448878910202,14,10,0,1,140,100,706080852.9142284,50434346.636730604,10000,0,0,0,270322.1094735387,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2039,30000,154226363.56167954,164646099.5768281,0.12390876061924926,0.36686245826798436,0.2888888888888889,success,106952.85052646133,114148.62050311346,0.4878529247333755,36057,865460417.1,377564.48,4.3625851921125366e-4,17.36622669191424,15,10,0,1,150,100,781480201.1361407,52098680.075742714,10000,0,0,0,263415.8594968865,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2040,30000,164646099.5768281,175409686.88047653,0.13200918186238855,0.35073452015464845,0.2888888888888889,success,114148.62050311346,121344.39047976559,0.4555678867575267,36057,871574869.1,377854,4.3353016865915045e-4,17.939312172747407,16,10,0,1,160,100,861086984.2918755,53817936.51824222,10000,0,0,0,256509.6095202344,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2041,30000,175409686.88047653,186528472.56514537,0.14037691700655142,0.3347402389918244,0.2888888888888889,success,121344.39047976559,128540.16045641771,0.42328284878167777,36057,878144286.5,379551.62,4.322201098782643e-4,18.53130947444807,17,10,0,1,170,100,945096783.1968515,55593928.4233442,10000,0,0,0,251011.45954358228,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2042,30000,186528472.56514537,198014178.17740828,0.14902078741047167,0.31888402545887895,0.2888888888888889,success,128540.16045641771,135735.93043306982,0.39099781080582907,36057,884713703.9,381249.24,4.309295067086391e-4,19.142842687104856,18,10,0,1,180,100,1033713505.1036623,57428528.06131457,10000,0,0,0,245513.30956693017,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2043,30000,198014178.17740828,209878912.07487586,0.1579499055377213,0.30317043578759834,0.2888888888888889,success,135735.93043306982,142931.70040972193,0.35871277282998026,36057,891283121.3000001,382946.86,4.296579289434368e-4,19.774556495779315,19,10,0,1,190,100,1127149720.2594209,59323669.48733795,10000,0,0,0,240015.15959027805,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2044,30000,209878912.07487586,222135182.19095987,0.16717368456317017,0.2876041765654172,0.2888888888888889,success,142931.70040972193,150127.47038637404,0.32642773485413157,36057,897852538.7,384644.48,4.2840495896678804e-4,20.427116860140032,20,10,0,1,200,100,1225627011.608402,61281350.5804201,10000,0,0,0,234517.00961362594,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2045,30000,222135182.19095987,234795909.22087467,0.17670184829645885,0.2721901096971562,0.2888888888888889,success,150127.47038637404,157323.24036302615,0.29414269687828276,36057,904421956.1,386342.1,4.271701912965091e-4,21.101211716524645,21,10,0,1,210,100,1329376338.1410527,63303635.14957394,10000,0,0,0,229018.85963697382,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2046,30000,234795909.22087467,247874440.24277663,0.18654444143294605,0.2569332575304943,0.2888888888888889,success,157323.24036302615,164519.01033967827,0.26185765890243407,36057,910983469.86,389012.62,4.270248943812158e-4,21.79755170316996,22,10,0,1,220,100,1438638412.4092174,65392655.109509885,10000,0,0,0,224493.60966032173,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2047,30000,247874440.24277663,261384562.78840137,0.19671184014293733,0.24183880815058442,0.2888888888888889,success,164519.01033967827,171714.78031633038,0.22957262092658526,36057,917544983.62,391683.14,4.2688167554977887e-4,22.516870909374568,23,10,0,1,230,100,1553664092.7468452,67550612.72812371,10000,0,0,0,219968.35968366964,NA,NA,NA
0,0,100,0,0,0,0,0,100,0,2048,30000,261384562.78840137,275340519.37803173,0.20721476301035835,0.22691212084938944,0.2888888888888889,success,171714.78031633038,178910.5502929825,0.19728758295073656,36057,924106497.38,394353.66,4.2674049053659946e-4,23.259927649383926,24,10,0,1,240,100,1674714790.7556427,69779782.94815178,10000,0,0,0,215443.1097070175,NA,NA,NA
