geoid,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,prior_reduction,reduction,ireduction,z,diversification,emissions,status,base_emissions,base_vmt,base_ef,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg,min_annual_emissions_chg,effect_emissions,effect_vmt,effect_ef
36075,10,10,100,10,10,10,10,10,10,10,2045,30000,114000000,119700000,0.155011655011655,128362.76608601735,134780.9043903182,0.5241334218460476,0.3395725384288513,0.1,358025.4956096818,success,492806.4,1211979357.9,4.06612865794915e-4,10,21,10,0,1,210,100,630000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2046,30000,119700000,125400000,0.1623931623931624,134780.9043903182,141199.04269461907,0.5014731086006214,0.33193313549689185,0.1,355034.05730538093,success,496233.10000000003,1220694852.22,4.0651691051005293e-4,10,22,10,0,1,220,100,660000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2047,30000,125400000,131100000,0.16977466977466976,141199.04269461907,147617.18099891994,0.47881279535519505,0.32429373256493244,0.1,352042.6190010801,success,499659.80000000005,1229410346.54,4.064223157111222e-4,10,23,10,0,1,230,100,690000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2048,30000,131100000,136800000,0.17715617715617715,147617.18099891994,154035.3193032208,0.4561524821097688,0.31665432963297296,0.1,349051.18069677916,success,503086.5,1238125840.8600001,4.0632905266766497e-4,10,24,10,0,1,240,100,720000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2049,30000,136800000,142500000,0.18453768453768454,154035.3193032208,160453.45760752168,0.4334921688643425,0.3090149267010135,0.1,346059.74239247834,success,506513.2,1246841335.18,4.0623709345253406e-4,10,25,10,0,1,250,100,750000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2050,30000,142500000,148200000,0.1919191919191919,160453.45760752168,166871.59591182254,0.4108318556189161,0.301375523769054,0.1,343068.3040881775,success,509939.9,1255556829.5,4.061464109140111e-4,10,26,10,0,1,260,100,780000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2025,30000,0,5700000,0.007381507381507382,0,6418.138304300866,0.9625682464242838,0.48497487690289565,0.1,311877.46169569914,success,318295.6,656450296,4.8487387687917195e-4,10,1,10,0,1,10,100,30000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2026,30000,5700000,11400000,0.014763014763014764,6418.138304300866,12836.276608601733,0.9251364928485678,0.46994975380579124,0.1,301864.54339139827,success,314700.82,661009085.96,4.760915192912245e-4,10,2,10,0,1,20,100,60000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2027,30000,11400000,17100000,0.022144522144522144,12836.276608601733,19254.414912902597,0.8877047392728517,0.45492463070868694,0.1,291851.6250870974,success,311106.04,665567875.92,4.674294707657951e-4,10,3,10,0,1,30,100,90000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2028,30000,17100000,22800000,0.029526029526029528,19254.414912902597,25672.553217203465,0.8502729856971356,0.43989950761158253,0.1,281838.70678279654,success,307511.26,670126665.88,4.588852759592561e-4,10,4,10,0,1,40,100,120000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2029,30000,22800000,28500000,0.036907536907536904,25672.553217203465,32090.691521504334,0.8128412321214195,0.42487438451447823,0.1,271825.78847849567,success,303916.48,674685455.8399999,4.5045654589013855e-4,10,5,10,0,1,50,100,150000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2030,30000,28500000,34200000,0.04428904428904429,32090.691521504334,38508.8298258052,0.7754094785457033,0.4098492614173738,0.1,261812.8701741948,success,300321.7,679244245.8,4.4214095571216397e-4,10,6,10,0,1,60,100,180000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2031,30000,34200000,39900000,0.05167055167055167,38508.8298258052,44926.96813010607,0.7379777249699871,0.3948241383202694,0.1,253429.35186989393,success,298356.32,682891575.24,4.369014508564462e-4,10,7,10,0,1,70,100,210000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2032,30000,39900000,45600000,0.059052059052059055,44926.96813010607,51345.10643440694,0.700545971394271,0.37979901522316506,0.1,245045.83356559306,success,296390.94,686538904.68,4.317176171365695e-4,10,8,10,0,1,80,100,240000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2033,30000,45600000,51300000,0.06643356643356643,51345.10643440694,57763.24473870781,0.663114217818555,0.36477389212606065,0.1,236662.31526129218,success,294425.56,690186234.12,4.2658857196043316e-4,10,9,10,0,1,90,100,270000000,30000000,0,0,0,0,NA,NA,NA
