id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,z,diversification,status,prior_reduction98,reduction98,ireduction98,geoid,base_vmt,base_emissions98,base_ef98,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg98,min_annual_emissions_chg98,emissions98,effect_emissions98,effect_ef98,effect_vmt,max_abs_diff
3,0,10,100,0,10,0,5,0,100,10,2028,30000,24091522.32811281,32657778.270790532,0.024577471561806806,0.5455025439337141,0.25,success,21907.902757749875,29210.537010333166,0.8531420930444972,36109,803472015.1800001,350035.27999999997,4.356533561677096e-4,12.150717649188254,4,10,0,1,40,100,145808611.79025903,36452152.94756476,10000,0,0,0,320824.7429896668,7302.6342525832915,-2.2943061513125418e-6,24427621.579170227,0.25
3,0,10,100,0,10,0,5,0,100,10,2029,30000,32657778.270790532,41506720.65957662,0.031236976323861528,0.5258857483529441,0.25,success,29210.537010333166,36513.171262916454,0.8164276163056214,36109,808940603.44,346038.04,4.2776693187173657e-4,12.551691331611465,5,10,0,1,50,100,188275369.97417197,37655073.99483439,10000,0,0,0,309524.8687370835,7302.6342525832915,-2.334440713652741e-6,24259991.38355255,0.25
3,0,10,100,0,10,0,5,0,100,10,2030,30000,41506720.65957662,50647678.14719264,0.038116244743064055,0.5063788346007482,0.25,success,36513.171262916454,43815.80551549974,0.7797131395667458,36109,814409191.7,342040.8,4.199864189720441e-4,12.965897145554644,6,10,0,1,60,100,233386148.61998358,38897691.43666393,10000,0,0,0,298224.99448450026,7302.6342525832915,-2.375746214339225e-6,24091559.636592865,0.25
3,0,10,100,0,10,0,5,0,100,10,2031,30000,50647678.14719264,60090287.23189999,0.04522252902010026,0.486985428777469,0.25,success,43815.80551549974,51118.43976808303,0.7429986628278701,36109,818788307.48,339875.42,4.15095595400038e-4,13.393771751357946,7,10,0,1,70,100,281269206.7785169,40181315.254073836,10000,0,0,0,288756.98023191694,7302.6342525832915,-2.3986338956727415e-6,23999988.69895935,0.25
3,0,10,100,0,10,0,5,0,100,10,2032,30000,60090287.23189999,69844502.41640268,0.05256332067827866,0.4677092766447608,0.25,success,51118.43976808303,58421.07402066632,0.7062841860889943,36109,823167423.26,337710.04,4.102568085876902e-4,13.835766219152756,8,10,0,1,80,100,332058389.25966614,41507298.65745827,10000,0,0,0,279288.9659793337,7302.6342525832915,-2.4218874301873416e-06,23908185.76812744,0.25
3,0,10,100,0,10,0,5,0,100,10,2033,30000,69844502.41640268,79920606.70199397,0.06014635846117696,0.4485542475744126,0.25,success,58421.07402066632,65723.7082732496,0.6695697093501187,36109,827546539.0400001,335544.66000000003,4.054692324485466e-4,14.292346504384795,9,10,0,1,90,100,385893355.6183895,42877039.51315439,10000,0,0,0,269820.9517267504,7302.6342525832915,-2.4455239916454374e-6,23816153.633594513,0.25
3,0,10,100,0,10,0,5,0,100,10,2034,30000,79920606.70199397,90329222.42900977,0.06797963649091089,0.42952433862748235,0.25,success,65723.7082732496,73026.3425258329,0.632855232611243,36109,831925654.82,333379.28,4.0073205828966986e-4,14.763993939029493,10,10,0,1,100,100,442919818.1708848,44291981.81708848,10000,0,0,0,260352.93747416715,7302.6342525832915,-2.4695438402555503e-6,23723867.189884186,0.25
3,0,10,100,0,10,0,0,0,95,10,2035,30000,90329222.42900977,100623786.30284655,0.07572708179329773,0.4106208642355442,0.25,success,73026.3425258329,80275.08162079097,0.5964117173422326,36109,836304770.6,331213.9,3.9604449435625403e-4,15.251205739017465,11,10,0,1,110,100,503289789.38757634,45753617.21705239,10000,0,0,0,250938.81837920906,7248.739094958078,-2.3665678791640055e-6,23469860.90540886,0.25
3,0,10,100,0,10,0,0,0,95,10,2036,30000,100623786.30284655,111258070.78451996,0.08373019279066335,0.39184522269109556,0.25,success,80275.08162079097,87523.82071574904,0.5599682020732223,36109,842280334.14,331572.9,3.9366097789585516e-4,15.75449552840504,12,10,0,1,120,100,567161839.0225815,47263486.585215114,10000,0,0,0,244049.07928425097,7248.739094958078,-2.362695716157104e-6,23485106.080770493,0.25
3,0,10,100,0,0,0,0,0,85,10,2037,30000,111258070.78451996,121266823.02123803,0.09126254301447281,0.3731999791892768,0.25,success,87523.82071574904,94656.15249349768,0.5241099322912646,36109,848255897.68,331931.9,3.913110429386246e-4,16.274393880842407,13,10,0,1,130,100,634701361.3528539,48823181.64252722,10000,0,0,0,237275.74750650235,7132.331777748632,-2.1258000568180613e-6,23119739.735126495,0.25
3,0,10,100,0,0,0,0,0,85,10,2038,30000,121266823.02123803,131605864.0817678,0.09904346079566798,0.3546790194661508,0.25,success,94656.15249349768,101788.48427124631,0.48825166250930696,36109,854231461.22,332290.9,3.889939847514248e-4,16.811448878910202,14,10,0,1,140,100,706080852.9142284,50434346.636730604,10000,0,0,0,230502.41572875372,7132.331777748632,-2.122329655768196e-6,23134716.349840164,0.25
3,0,0,100,0,0,0,0,0,75,10,2039,30000,131605864.0817678,141244119.8957802,0.10629698417408409,0.33627878689731094,0.25,success,101788.48427124631,108798.47475077625,0.4530084716964302,36109,860207024.76,332649.9,3.8670911818327713e-4,17.36622669191424,15,10,0,1,150,100,781480201.1361407,52098680.075742714,10000,0,0,0,223851.42524922377,7009.990479529934,-1.8865864599704185e-6,22749162.018299103,0.25
3,0,0,100,0,0,0,0,0,75,10,2040,30000,141244119.8957802,151200438.15165502,0.11378987382398795,0.3179982374642149,0.25,success,108798.47475077625,115808.46523030619,0.4177652808835536,36109,866182588.3,333008.9,3.84455776989901e-4,17.939312172747407,16,10,0,1,160,100,861086984.2918755,53817936.51824222,10000,0,0,0,217200.43476969382,7009.990479529934,-1.8835141779582898e-6,22763886.898756027,0.25
3,0,0,100,0,0,0,0,0,75,10,2041,30000,151200438.15165502,161485314.90997368,0.1215300288323386,0.29984132071034236,0.25,success,115808.46523030619,122818.45570983613,0.38252209007067683,36109,872650475.28,334568.5,3.8339347708789116e-4,18.53130947444807,17,10,0,1,170,100,945096783.1968515,55593928.4233442,10000,0,0,0,211750.04429016387,7009.990479529934,-1.8702763296407632e-6,22827749.66955185,0.25
3,0,0,100,0,0,0,0,0,75,10,2042,30000,161485314.90997368,172109592.60131687,0.12952560895596485,0.28181211651410754,0.25,success,122818.45570983613,129828.44618936606,0.3472788992578002,36109,879118362.26,336128.10000000003,3.823468083818614e-4,19.142842687104856,18,10,0,1,180,100,1033713505.1036623,57428528.06131457,10000,0,0,0,206299.653810634,7009.990479529934,-1.857194346227553e-6,22891491.919755936,0.25
3,0,0,100,0,0,0,0,0,75,10,2043,30000,172109592.60131687,183084471.4564744,0.13778504322367074,0.26391483938991256,0.25,success,129828.44618936606,136838.436668896,0.31203570844492345,36109,885586249.24,337687.7,3.813154283840786e-4,19.774556495779315,19,10,0,1,190,100,1127149720.2594209,59323669.48733795,10000,0,0,0,200849.263331104,7009.990479529934,-1.8442526152073757e-6,22955120.17607689,0.25
3,0,0,100,0,0,0,0,0,75,10,2044,30000,183084471.4564744,194421521.3138521,0.14631703882221095,0.24615384293113474,0.25,success,136838.436668896,143848.42714842592,0.27679251763204693,36109,892054136.22,339247.30000000005,3.8029900453971356e-4,20.427116860140032,20,10,0,1,200,100,1225627011.608402,61281350.5804201,10000,0,0,0,195398.87285157412,7009.990479529934,-1.8314667490915149e-6,23018622.010946274,0.25
3,0,0,100,0,0,0,0,0,75,10,2045,30000,194421521.3138521,206132693.81652328,0.155130590275503,0.22853362439973288,0.25,success,143848.42714842592,150858.41762795585,0.2415493268191703,36109,898522023.2,340806.9,3.7929721386933724e-4,21.101211716524645,21,10,0,1,210,100,1329376338.1410527,63303635.14957394,10000,0,0,0,189948.48237204418,7009.990479529934,-1.8188333651691924e-6,23082022.547721863,0.25
3,0,0,100,0,0,0,0,0,75,10,2046,30000,206132693.81652328,218230335.01178262,0.16423498892675364,0.21105882946731036,0.25,success,150858.41762795585,157868.40810748577,0.20630613600629366,36109,904928892.7,343189.92000000004,3.7924517911682327e-4,21.79755170316996,22,10,0,1,220,100,1438638412.4092174,65392655.109509885,10000,0,0,0,185321.51189251427,7009.990479529934,-1.799803795582422e-6,23178666.7406559,0.25
3,0,0,100,0,0,0,0,0,65,0,2047,30000,218230335.01178262,229376186.11192304,0.17262309286249647,0.19372996262175712,0.25,success,157868.40810748577,164717.97887534837,0.17186946590481422,36109,911335762.2,345572.94,3.791938759933808e-4,22.516870909374568,23,10,0,1,230,100,1553664092.7468452,67550612.72812371,10000,0,0,0,180854.96112465163,6849.5707678626,-1.4254337293850838e-6,22943699.66983795,0.25
3,0,0,100,0,0,0,0,0,65,0,2048,30000,229376186.11192304,240889850.2983681,0.1812880042281188,0.17653949949114364,0.25,success,164717.97887534837,171567.54964321098,0.13743279580333478,36109,917742631.7,347955.96,3.791432891762437e-4,23.259927649383926,24,10,0,1,240,100,1674714790.7556427,69779782.94815178,10000,0,0,0,176388.41035678904,6849.5707678626,-1.4107223202108887e-6,23038458.663225174,0.25
3,0,0,100,0,0,0,0,0,65,0,2049,30000,240889850.2983681,252783465.4029658,0.19023885766880666,0.15949200739806293,0.25,success,171567.54964321098,178417.12041107359,0.10299612570185535,36109,924149501.2,350338.98,3.790934037675591e-4,24.027505261813594,25,10,0,1,250,100,1802062894.6360195,72082515.78544079,10000,0,0,0,171921.8595889264,6849.5707678626,-1.3962646143450552e-6,23132928.496599197,0.25
3,0,0,100,0,0,0,0,0,65,0,2050,30000,252783465.4029658,265069569.80601525,0.19948508927303718,0.14259220438675355,0.25,success,178417.12041107359,185266.6911789362,0.06855945560037591,36109,930556370.7,352722,3.790442052797608e-4,24.82041293545344,26,10,0,1,260,100,1935992208.9653683,74461238.80636032,10000,0,0,0,167455.3088210638,6849.5707678626,-1.3820470809444707e-6,23227154.606580734,0.25
4,10,10,100,10,10,10,10,10,10,10,2025,30000,0,6283126.740899998,0.004728532587650504,0.6071970070102332,0.1,success,0,6418.138304300866,0.9677323851462526,36109,787066250.4,362027,4.5997017381448123e-4,11.023029369999996,1,10,0,1,10,100,33069088.10999999,33069088.10999999,10000,0,0,0,355608.86169569916,6418.138304300866,-3.498857453765325e-7,21864195.370674133,0.1
